close,date
53.06,2018-10-29
53.325,2018-10-30
54.715,2018-10-31
55.555,2018-11-01
51.87,2018-11-02
50.3975,2018-11-05
50.9425,2018-11-06
52.4875,2018-11-07
52.1225,2018-11-08
51.1175,2018-11-09
48.5425,2018-11-12
48.0575,2018-11-13
46.7,2018-11-14
47.8525,2018-11-15
48.3825,2018-11-16
46.465,2018-11-19
44.245,2018-11-20
44.195,2018-11-21
43.0725,2018-11-23
43.655,2018-11-26
43.56,2018-11-27
45.235,2018-11-28
44.8875,2018-11-29
44.645,2018-11-30
46.205,2018-12-03
44.1725,2018-12-04
43.68,2018-12-06
42.1225,2018-12-07
42.4,2018-12-10
42.1575,2018-12-11
42.275,2018-12-12
42.7375,2018-12-13
41.37,2018-12-14
40.985,2018-12-17
41.5175,2018-12-18
40.2225,2018-12-19
39.2075,2018-12-20
37.6825,2018-12-21
36.7075,2018-12-24
39.2925,2018-12-26
39.0375,2018-12-27
39.0575,2018-12-28
39.435,2018-12-31
39.48,2019-01-02
35.5475,2019-01-03
37.065,2019-01-04
36.9825,2019-01-07
37.6875,2019-01-08
38.3275,2019-01-09
38.45,2019-01-10
38.0725,2019-01-11
37.5,2019-01-14
38.2675,2019-01-15
38.735,2019-01-16
38.965,2019-01-17
39.205,2019-01-18
38.325,2019-01-22
38.48,2019-01-23
38.175,2019-01-24
39.44,2019-01-25
39.075,2019-01-28
38.67,2019-01-29
41.3125,2019-01-30
41.61,2019-01-31
41.63,2019-02-01
42.8125,2019-02-04
43.545,2019-02-05
43.56,2019-02-06
42.735,2019-02-07
42.6025,2019-02-08
42.3575,2019-02-11
42.7225,2019-02-12
42.545,2019-02-13
42.7,2019-02-14
42.605,2019-02-15
42.7325,2019-02-19
43.0075,2019-02-20
42.765,2019-02-21
43.2425,2019-02-22
43.5575,2019-02-25
43.5825,2019-02-26
43.7175,2019-02-27
43.2875,2019-02-28
43.7425,2019-03-01
43.9625,2019-03-04
43.8825,2019-03-05
43.63,2019-03-06
43.125,2019-03-07
43.2275,2019-03-08
44.725,2019-03-11
45.2275,2019-03-12
45.4275,2019-03-13
45.9325,2019-03-14
46.53,2019-03-15
47.005,2019-03-18
46.6325,2019-03-19
47.04,2019-03-20
48.7725,2019-03-21
47.7625,2019-03-22
47.185,2019-03-25
46.6975,2019-03-26
47.1175,2019-03-27
47.18,2019-03-28
47.4875,2019-03-29
47.81,2019-04-01
48.505,2019-04-02
48.8375,2019-04-03
48.9225,2019-04-04
49.25,2019-04-05
50.025,2019-04-08
49.875,2019-04-09
50.155,2019-04-10
49.7375,2019-04-11
49.7175,2019-04-12
49.8075,2019-04-15
49.8125,2019-04-16
50.7825,2019-04-17
50.965,2019-04-18
51.1325,2019-04-22
51.87,2019-04-23
51.79,2019-04-24
51.32,2019-04-25
51.075,2019-04-26
51.1525,2019-04-29
50.1675,2019-04-30
52.63,2019-05-01
52.2875,2019-05-02
52.9375,2019-05-03
52.12,2019-05-06
50.715,2019-05-07
50.725,2019-05-08
50.18,2019-05-09
49.295,2019-05-10
46.43,2019-05-13
47.165,2019-05-14
47.73,2019-05-15
47.52,2019-05-16
47.25,2019-05-17
45.7725,2019-05-20
46.65,2019-05-21
45.695,2019-05-22
44.915,2019-05-23
44.7425,2019-05-24
44.5575,2019-05-28
44.345,2019-05-29
44.575,2019-05-30
43.7675,2019-05-31
43.325,2019-06-03
44.91,2019-06-04
45.635,2019-06-05
46.305,2019-06-06
47.5375,2019-06-07
48.145,2019-06-10
48.7025,2019-06-11
48.5475,2019-06-12
48.5375,2019-06-13
48.185,2019-06-14
48.4725,2019-06-17
49.6125,2019-06-18
49.4675,2019-06-19
49.865,2019-06-20
49.695,2019-06-21
49.645,2019-06-24
48.8925,2019-06-25
49.95,2019-06-26
49.935,2019-06-27
49.48,2019-06-28
50.3875,2019-07-01
50.6825,2019-07-02
51.1025,2019-07-03
51.0575,2019-07-05
50.005,2019-07-08
50.31,2019-07-09
50.8075,2019-07-10
50.4375,2019-07-11
50.825,2019-07-12
51.3025,2019-07-15
51.125,2019-07-16
50.8375,2019-07-17
51.415,2019-07-18
50.6475,2019-07-19
51.805,2019-07-22
52.21,2019-07-23
52.1675,2019-07-24
51.755,2019-07-25
51.935,2019-07-26
52.42,2019-07-29
52.195,2019-07-30
53.26,2019-07-31
52.1075,2019-08-01
51.005,2019-08-02
48.335,2019-08-05
49.25,2019-08-06
49.76,2019-08-07
50.8575,2019-08-08
50.2475,2019-08-09
50.12,2019-08-12
52.2425,2019-08-13
50.6875,2019-08-14
50.435,2019-08-15
51.625,2019-08-16
52.5875,2019-08-19
52.59,2019-08-20
53.16,2019-08-21
53.115,2019-08-22
50.66,2019-08-23
51.6225,2019-08-26
51.04,2019-08-27
51.3825,2019-08-28
52.2525,2019-08-29
52.185,2019-08-30
51.425,2019-09-03
52.2975,2019-09-04
53.32,2019-09-05
53.315,2019-09-06
53.5425,2019-09-09
54.175,2019-09-10
55.8975,2019-09-11
55.7713,2019-09-12
54.6875,2019-09-13
54.975,2019-09-16
55.175,2019-09-17
55.6925,2019-09-18
55.24,2019-09-19
54.4325,2019-09-20
54.68,2019-09-23
54.42,2019-09-24
55.2575,2019-09-25
54.9725,2019-09-26
54.705,2019-09-27
55.9925,2019-09-30
56.1475,2019-10-01
54.74,2019-10-02
55.205,2019-10-03
56.7525,2019-10-04
56.765,2019-10-07
56.1,2019-10-08
56.7575,2019-10-09
57.5225,2019-10-10
59.0525,2019-10-11
58.9675,2019-10-14
58.83,2019-10-15
58.5925,2019-10-16
58.82,2019-10-17
59.1025,2019-10-18
60.1275,2019-10-21
59.99,2019-10-22
60.795,2019-10-23
60.895,2019-10-24
61.645,2019-10-25
62.2625,2019-10-28
60.8225,2019-10-29
60.815,2019-10-30
62.19,2019-10-31
63.955,2019-11-01
64.375,2019-11-04
64.2825,2019-11-05
64.31,2019-11-06
64.8575,2019-11-07
65.035,2019-11-08
65.55,2019-11-11
65.49,2019-11-12
66.1175,2019-11-13
65.66,2019-11-14
66.44,2019-11-15
66.775,2019-11-18
66.5725,2019-11-19
65.7975,2019-11-20
65.5025,2019-11-21
65.445,2019-11-22
66.5925,2019-11-25
66.0725,2019-11-26
66.96,2019-11-27
66.8125,2019-11-29
66.04,2019-12-02
64.8625,2019-12-03
65.435,2019-12-04
66.395,2019-12-05
67.6775,2019-12-06
66.73,2019-12-09
67.12,2019-12-10
67.6925,2019-12-11
67.865,2019-12-12
68.7875,2019-12-13
69.965,2019-12-16
70.1025,2019-12-17
69.935,2019-12-18
70.005,2019-12-19
69.86,2019-12-20
71.0,2019-12-23
71.0675,2019-12-24
72.4775,2019-12-26
72.45,2019-12-27
72.88,2019-12-30
73.4125,2019-12-31
75.0875,2020-01-02
74.3575,2020-01-03
74.95,2020-01-06
74.5975,2020-01-07
75.7975,2020-01-08
77.4075,2020-01-09
77.5825,2020-01-10
79.24,2020-01-13
78.17,2020-01-14
77.835,2020-01-15
78.81,2020-01-16
79.6825,2020-01-17
79.1425,2020-01-21
79.425,2020-01-22
79.8075,2020-01-23
79.5775,2020-01-24
77.2375,2020-01-27
79.4225,2020-01-28
81.085,2020-01-29
80.9675,2020-01-30
77.3775,2020-01-31
77.165,2020-02-03
79.7125,2020-02-04
80.3625,2020-02-05
81.3025,2020-02-06
80.0075,2020-02-07
80.3875,2020-02-10
79.9025,2020-02-11
81.8,2020-02-12
81.2175,2020-02-13
81.2375,2020-02-14
79.75,2020-02-18
80.905,2020-02-19
80.075,2020-02-20
